Reportnumber,CircumstancesCode,DriverID,NonMotoristID,PassengerID,Vehicleid,CrashPoint,Latitude (generated),Longitude (generated)
MTA04780002,*,*,,,*,Point,39.287519609,-76.620795505
MTA04750009,*,*,,*,*,Point,39.289560458,-76.613836176
MTA04750008,*,*,,*,*,Point,39.274184425,-76.614178227
MTA04750006,N/A,*,,5d4a1fb8-cf79-480b-b4b1-8c627160f4bb,*,Point,39.294722616,-76.621250680
MTA04750005,*,*,,97e45532-335d-4a9f-80ae-5e0deee0c437,*,Point,39.311242497,-76.615606346
MTA04750004,N/A,*,,,*,Point,39.287890551,-76.531669088
MTA04750003,N/A,*,,*,*,Point,39.311247434,-76.614988801
MTA04750002,N/A,94c156a7-9393-47e8-8a1a-87a376785cad,,*,27ab5344-5afd-4ef0-b94b-4e38a5e5f61b,Point,39.331090004,-76.609579978
MTA04730003,*,*,,*,*,Point,39.314458706,-76.572945874
MTA04730002,*,*,,*,*,Point,39.280992354,-76.646625861
MTA04730001,*,8e9e2573-b5cb-440a-aefe-323cc07ae8af,,bbd63f1d-1e9f-4c7d-beab-f5a83bf372dc,d3f02cec-835f-4280-a985-4b6045496515,Point,39.293307601,-76.608011004
MTA04720005,N/A,*,,84e19c11-424e-4abe-a976-33aec76bb467,*,Point,39.266080638,-76.632108796
MTA04720003,*,*,,,*,Point,39.288347432,-76.642383072
MTA04710007,N/A,*,,*,*,Point,39.309497439,-76.658064099
MTA04710006,N/A,*,,5360ebf6-f990-444d-9771-acc67344b790,*,Point,39.281235788,-76.548886176
MTA04710005,*,*,,*,*,Point,39.287905971,-76.611995974
MTA04710004,*,*,,*,*,Point,39.297331275,-76.619903868
MTA04710003,N/A,*,,,*,Point,39.294863228,-76.619788490
MTA04710001,N/A,*,,e8567826-3c7b-4582-b730-b254eb30d425,*,Point,39.337253204,-76.628381888
MTA04680006,*,*,,*,*,Point,39.286330048,-76.619259992
MTA04680005,*,c2e566ee-eb28-4d6c-966d-c0f31bb3bbbb,,ae3ce1c4-c267-4555-805c-9eec22bb83f6,f4ec8cea-4a42-4a5a-96ad-e00a2a35b6e4,Point,39.292441868,-76.612958131
MTA04680004,N/A,e1df5ae0-8821-4534-afb4-d294ecaad307,,c14f8045-0e95-4f1d-9f78-a26b720f0229,98cf7e2a-a08d-4706-b068-9ecdd732dd75,Point,39.297414655,-76.590796720
MTA04670008,*,*,,*,*,Point,39.292800010,-76.650309982
MTA04670006,N/A,43306ff8-5dc5-476f-8826-8eeb8bbcd227,,*,64f0e17d-83b4-4c03-9d1f-4b9bceff0b5d,Point,39.318239981,-76.602059970
MTA04670004,N/A,654ca0ff-ef15-4d59-9ee1-f4991affd14e,,*,14b248e7-c1f2-4227-8e6e-416c79643ffe,Point,39.316887867,-76.650694089
MTA04650009,*,*,,*,*,Point,39.252829748,-76.616350667
MTA04650007,N/A,*,,*,*,Point,39.286617001,-76.611311506
MTA04650006,*,9e2d90c9-0cb6-41aa-8b6d-4f179a027d84,,ce4db9eb-c4a3-4d24-beeb-d45c42a77945,f45d3dee-8b93-4526-a08b-a3fc8330b4de,Point,39.288932978,-76.598672980
MTA04650004,N/A,45ba03c3-26e3-47b8-89b3-063cc277b2e4,4a48e3e8-7fc9-41c2-8375-cffb9bb55645,,4f5f3216-3612-4d1e-b955-7d94633654e0,Point,39.310108157,-76.641624428
MTA04640005,*,*,,*,*,Point,39.328494936,-76.609439001
MTA04640004,*,73446376-4d16-47eb-8208-40d59939778d,,b0178a0f-3ec1-482e-9dee-cc7f7b4e3653,0a367d20-e40c-4cff-9429-c2e9156bd942,Point,39.292276389,-76.537243633
MTA04640002,N/A,*,,*,*,Point,39.356460004,-76.595929988
MTA04640001,*,cdd740ff-6665-448d-b484-2296713474f7,,41460629-9349-43d7-865e-6540626e8c0e,b3ed44d4-9812-4710-9200-6354c8227514,Point,39.323970010,-76.596209992
MTA04630004,N/A,568cb386-4854-403d-997d-c58458d72708,0e0faab3-1227-4356-bd91-95d217779843,,e2bf26fc-0089-48d3-a992-e3d975d1a027,Point,39.286774739,-76.607332021
MTA04630002,N/A,*,,e8c606a9-68d1-4275-a5da-fe59895b63bd,*,Point,39.286715008,-76.608732774
MTA04630001,*,*,,*,*,Point,39.341834204,-76.668085860
MTA04610008,*,51dc0618-06d8-42cb-9777-a3173e4b7ed3,,211e5b3f-2395-4536-80a7-965bbe098d3f,cb7fb70b-9859-4228-91e5-024737fcb469,Point,39.309409671,-76.664171408
MTA04610006,*,*,,,*,Point,39.292497698,-76.610356298
MTA04610004,N/A,*,,97b6ecaa-a927-4986-8cd4-7c389e710f29,*,Point,39.285993422,-76.623553126
MTA04610003,N/A,*,,*,*,Point,39.269450257,-76.684816567
MTA04610001,N/A,0cdc3507-24eb-4472-98ea-00329eb7107c,,a44de8c5-532c-4b4b-a185-6c7f8c7ec3e9,8fd3649e-0d43-4c69-8628-22087c2cead6,Point,39.333249888,-76.661559153
MTA04600009,N/A,*,,30486c9c-53a2-4168-a293-e880b6e4976b,*,Point,39.313232636,-76.651485402
MTA04600006,N/A,*,,20b893e7-af3e-4c7c-9e35-45445c916d99,*,Point,39.310175690,-76.639778009
MTA04580006,*,f77bb3fc-5a69-44cf-923a-bb3cf5e88385,,,3fdaf27b-5fd2-4246-969a-cc4c9cfb993d,Point,39.277280013,-76.568620010
MTA04580005,*,*,,bb35877a-192f-4a44-a38e-edd0506b346f,*,Point,39.285418237,-76.534697143
MTA04580001,*,*,,c0fe78a3-5d3a-490d-b119-b525e64f8d53,*,Point,39.281964323,-76.582451998
MTA04550009,N/A,98c5eaef-a640-4281-a810-bdf245ace096,,69a3a3a3-0728-4565-93bd-c4bb1829b8f7,88425f0b-cd0d-4edb-bede-6bf564fc94ba,Point,39.310279671,-76.635735624
MTA04550007,*,*,,,*,Point,39.332563652,-76.633063882
MTA04550006,N/A,*,,*,*,Point,39.317612989,-76.603083625
MTA04550004,N/A,*,,*,*,Point,39.331362816,-76.695286005
MTA04550003,N/A,*,,,*,Point,39.352940753,-76.666788174
MTA04530008,*,*,,*,*,Point,39.311443754,-76.609155218
MTA04530006,N/A,*,,*,*,Point,39.289271128,-76.593667159
MTA04530004,N/A,*,,*,*,Point,39.261439236,-76.658358000
MTA04530002,*,*,,42aa1da2-7c95-4db1-bd00-550906bb4923,*,Point,39.295072774,-76.616762628
MTA04520007,*,*,,*,*,Point,39.308829488,-76.674083520
MTA04520005,*,*,,1ef5fa0f-6d3d-498b-a2ad-e5b4dd8d5dfc,*,Point,39.312050938,-76.597054941
MTA04520003,*,*,,*,*,Point,39.303840489,-76.607968339
MTA04520002,N/A,*,,*,*,Point,39.333510022,-76.663519975
MTA04520001,N/A,71ed263c-6384-4fcd-8953-c315dd39734b,,*,2807f30a-0568-4020-a273-9d399884d858,Point,39.331523663,-76.616507126
MTA04510009,N/A,2ff72a37-1822-4690-a2b5-4de9b672f9d6,,*,0a5d654b-34ed-447a-ba44-b05432cd0c8c,Point,39.309016787,-76.669309491
MTA04510007,N/A,31dc9342-8eda-4334-a9d1-4abb05ca68f1,,*,830cfbe8-d38f-42ae-b73d-688af114b2be,Point,39.310050072,-76.642666063
MTA04510006,N/A,08fda9b1-5635-47db-9cac-4d64adcd4e84,,5b0c3eff-4901-4743-99d0-399be29674b4,c5968a25-8542-427a-983f-f20c4bab7318,Point,39.364373018,-76.607231027
MTA04510003,N/A,d3b457ac-1202-4f7c-a348-55b5158ee44c,e66bfb4e-b4de-43ac-b004-9d20ef222702,,7fa9800e-63ba-4e6d-aa37-75fccfc2c687,Point,39.317828874,-76.652363570
MTA04510002,N/A,*,,*,*,Point,39.323052165,-76.597132348
MTA04510001,*,1dc4df66-b74f-4af0-b9c1-ead580863d76,,4b782356-66a5-498c-969d-74c1d340e9be,e8031844-fb24-4fbc-9d67-bdf9ead82e39,Point,39.287569649,-76.540936105
MTA04480008,*,*,,,*,Point,39.317743909,-76.619721688
MTA04480007,N/A,*,,a1b4a6b9-2972-4ab8-9d66-66798d539ed1,*,Point,39.305000428,-76.542037897
MTA04480005,*,*,,,*,Point,39.705694159,-77.660916463
MTA04460009,N/A,07b4d8c1-679f-43e6-986f-ee1b8270b2e5,,8095d81b-4250-42f0-9b05-d5b6605eb70f,*,Point,39.266804297,-76.652346199
MTA04460008,*,*,,8ed94c01-403d-4c4a-8898-e8c16c210a45,*,Point,39.279889343,-76.614564163
MTA04460007,*,*,,,*,Point,39.289001790,-76.619464541
MTA04460004,N/A,*,,*,*,Point,39.316987276,-76.636911044
MTA04450009,N/A,*,,*,*,Point,39.304689034,-76.611985247
MTA04450008,N/A,5aa11de9-f16c-4cf8-861b-63d65379befd,,f04f0466-ef23-4ff6-9228-df79d45671cf,19f256d1-8f71-457a-bc6a-7056288200e6,Point,39.310263336,-76.637427412
MTA04450007,N/A,*,,*,*,Point,39.292373726,-76.638578148
MTA04450004,N/A,*,,*,*,Point,39.293688722,-76.611267378
